"113年06月07日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"2888","新光金          ","97,351,000","34,384,000","62,967,000","0","0","0","0","0","0","5,009,613","1,455,789","1,794,000","-338,211","5,551,824","204,000","5,347,824","67,976,613",
="00940","元大台灣價值高息","42,402,400","510,625","41,891,775","0","0","0","0","0","0","13,721,000","0","0","0","22,800,000","9,079,000","13,721,000","55,612,775",
"2618","長榮航          ","23,512,512","35,845,147","-12,332,635","0","0","0","51,505,000","266,747","51,238,253","-837,286","1,105,414","1,771,000","-665,586","1,680,300","1,852,000","-171,700","38,068,332",
="00650L","復華香港正2     ","13,005,000","2,514,000","10,491,000","0","0","0","0","0","0","24,255,229","0","0","0","32,473,199","8,217,970","24,255,229","34,746,229",
="00715L","期街口布蘭特正2 ","1,842,000","235,000","1,607,000","0","0","0","0","0","0","23,248,900","323,000","0","323,000","23,627,008","701,108","22,925,900","24,855,900",
="00665L","富邦恒生國企正2 ","15,633,000","5,048,000","10,585,000","0","0","0","0","0","0","13,248,977","0","0","0","38,801,110","25,552,133","13,248,977","23,833,977",
="00632R","元大台灣50反1   ","499,000","117,000","382,000","0","0","0","0","0","0","23,367,000","3,000,000","1,150,000","1,850,000","26,265,000","4,748,000","21,517,000","23,749,000",
"1314","中石化          ","24,414,000","6,009,000","18,405,000","0","0","0","0","0","0","3,299,452","53,000","38,411","14,589","3,355,914","71,051","3,284,863","21,704,452",
"2409","友達            ","26,203,000","8,855,536","17,347,464","0","0","0","0","8,182","-8,182","1,692,380","1,342,000","121,000","1,221,000","724,380","253,000","471,380","19,031,662",
"2883","開發金          ","45,379,770","28,395,000","16,984,770","0","0","0","39,000","2,281","36,719","1,740,522","993,137","315,615","677,522","2,029,000","966,000","1,063,000","18,762,011",
"2867","三商壽          ","17,819,000","287,000","17,532,000","0","0","0","0","0","0","402,049","501,175","121,000","380,175","21,874","0","21,874","17,934,049",
"2610","華航            ","27,292,883","12,368,000","14,924,883","0","0","0","0","532","-532","2,199,967","842,967","532,385","310,582","3,701,163","1,811,778","1,889,385","17,124,318",
"2834","臺企銀          ","24,264,000","7,221,366","17,042,634","0","0","0","0","110,640","-110,640","134,000","0","117,000","-117,000","262,000","11,000","251,000","17,065,994",
"2515","中工            ","24,452,000","6,610,000","17,842,000","0","0","0","0","22,000","-22,000","-950,873","997,000","664,000","333,000","637,644","1,921,517","-1,283,873","16,869,127",
"9945","潤泰新          ","21,058,000","6,712,172","14,345,828","0","0","0","0","0","0","2,149,871","1,508,124","579,068","929,056","1,425,815","205,000","1,220,815","16,495,699",
"9105","泰金寶-DR       ","21,960,000","7,228,000","14,732,000","0","0","0","0","0","0","16,504","0","0","0","16,504","0","16,504","14,748,504",
="00941","中信上游半導體  ","8,898,000","212,100","8,685,900","0","0","0","0","0","0","2,397,606","0","0","0","3,824,606","1,427,000","2,397,606","11,083,506",
"2609","陽明            ","47,051,697","35,809,448","11,242,249","0","0","0","219,000","0","219,000","-881,318","2,108,994","2,944,563","-835,569","822,598","868,347","-45,749","10,579,931",
"1504","東元            ","11,607,002","4,702,000","6,905,002","0","0","0","6,425,000","4,846,687","1,578,313","1,126,100","815,288","135,499","679,789","543,311","97,000","446,311","9,609,415",
"2501","國建            ","16,286,000","8,275,000","8,011,000","0","0","0","1,137,000","0","1,137,000","118,492","585,382","407,890","177,492","0","59,000","-59,000","9,266,492",
"4306","炎洲            ","9,270,000","876,000","8,394,000","0","0","0","0","8,000","-8,000","684,695","4,000","0","4,000","681,695","1,000","680,695","9,070,695",
"2542","興富發          ","11,043,300","2,810,634","8,232,666","0","0","0","0","0","0","802,837","887,837","100,000","787,837","20,000","5,000","15,000","9,035,503",
"3481","群創            ","16,621,010","8,652,720","7,968,290","0","0","0","0","188","-188","994,109","252,000","166,000","86,000","1,104,109","196,000","908,109","8,962,211",
"2889","國票金          ","6,895,000","12,703,000","-5,808,000","0","0","0","15,000,000","13,000","14,987,000","-521,000","1,000","35,000","-34,000","52,000","539,000","-487,000","8,658,000",
"2344","華邦電          ","12,958,558","5,095,000","7,863,558","0","0","0","0","2,172","-2,172","367,829","304,000","67,000","237,000","175,995","45,166","130,829","8,229,215",
"1316","上曜            ","9,847,022","1,922,000","7,925,022","0","0","0","0","0","0","64,000","75,000","11,000","64,000","0","0","0","7,989,022",
"2606","裕民            ","7,110,000","1,727,000","5,383,000","0","0","0","1,410,000","48,241","1,361,759","1,134,186","1,006,710","151,703","855,007","373,179","94,000","279,179","7,878,945",
"8926","台汽電          ","8,352,860","646,000","7,706,860","0","0","0","0","0","0","54,869","1,118","10,000","-8,882","63,751","0","63,751","7,761,729",
"2882","國泰金          ","14,432,100","7,151,000","7,281,100","0","0","0","323,000","14,889","308,111","16,995","268,995","537,000","-268,005","751,000","466,000","285,000","7,606,206",
="00939","統一台灣高息動能","21,041,272","2,238,000","18,803,272","0","0","0","0","0","0","-11,490,585","0","0","0","3,627,000","15,117,585","-11,490,585","7,312,687",
"1608","華榮            ","10,511,000","3,857,000","6,654,000","0","0","0","0","0","0","542,567","264,000","6,593","257,407","288,140","2,980","285,160","7,196,567",
"2406","國碩            ","7,736,000","714,000","7,022,000","0","0","0","0","0","0","-9,832","25,168","35,000","-9,832","0","0","0","7,012,168",
"2303","聯電            ","30,852,791","25,778,144","5,074,647","0","0","0","606,000","342,978","263,022","1,544,233","581,000","349,000","232,000","1,610,233","298,000","1,312,233","6,881,902",
="00882","中信中國高股息  ","2,114,000","4,043,000","-1,929,000","0","0","0","0","0","0","8,732,327","0","0","0","9,344,264","611,937","8,732,327","6,803,327",
"2511","太子            ","10,044,000","3,274,000","6,770,000","0","0","0","0","0","0","-87,798","1,000","88,798","-87,798","0","0","0","6,682,202",
"2887","台新金          ","9,905,000","2,874,058","7,030,942","0","0","0","30,000","25,471","4,529","-615,000","0","82,000","-82,000","71,000","604,000","-533,000","6,420,471",
"1605","華新            ","7,246,300","1,639,000","5,607,300","0","0","0","0","12,104","-12,104","541,023","424,908","38,000","386,908","220,115","66,000","154,115","6,136,219",
"2547","日勝生          ","7,767,000","1,839,000","5,928,000","0","0","0","0","0","0","-35,000","0","35,000","-35,000","0","0","0","5,893,000",
="00900","富邦特選高股息30","45,000","2,473,000","-2,428,000","0","0","0","0","0","0","8,316,012","0","0","0","9,064,052","748,040","8,316,012","5,888,012",
"1455","集盛            ","7,065,000","1,593,000","5,472,000","0","0","0","0","6,000","-6,000","407,915","38,000","11,085","26,915","381,000","0","381,000","5,873,915",
"2897","王道銀行        ","6,580,100","1,051,000","5,529,100","0","0","0","0","0","0","269,000","108,000","28,000","80,000","193,000","4,000","189,000","5,798,100",
"1402","遠東新          ","3,961,100","2,477,000","1,484,100","0","0","0","3,817,000","2,170","3,814,830","58,000","9,000","45,000","-36,000","121,000","27,000","94,000","5,356,930",
"2881","富邦金          ","10,140,860","4,764,477","5,376,383","0","0","0","20,000","8,172","11,828","-128,961","60,307","356,000","-295,693","458,732","292,000","166,732","5,259,250",
"9946","三發地產        ","5,915,000","921,000","4,994,000","0","0","0","0","0","0","4,000","61,000","57,000","4,000","0","0","0","4,998,000",
"9958","世紀鋼          ","6,448,100","2,463,104","3,984,996","0","0","0","852,000","0","852,000","142,280","510,589","559,307","-48,718","288,998","98,000","190,998","4,979,276",
"2884","玉山金          ","12,248,199","6,779,053","5,469,146","0","0","0","3,841,000","4,005,459","-164,459","-348,428","0","117,000","-117,000","226,000","457,428","-231,428","4,956,259",
"4967","十銓            ","6,370,000","1,574,002","4,795,998","0","0","0","0","0","0","3,109","38,109","35,000","3,109","0","0","0","4,799,107",
"2890","永豐金          ","12,735,870","8,089,455","4,646,415","0","0","0","280,000","58,990","221,010","-214,000","5,000","85,000","-80,000","103,000","237,000","-134,000","4,653,425",
"3056","富華新          ","4,901,000","480,000","4,421,000","0","0","0","0","0","0","200,634","9,479","13,000","-3,521","204,155","0","204,155","4,621,634",
"2537","聯上發          ","9,062,000","4,560,054","4,501,946","0","0","0","0","0","0","20,000","45,000","25,000","20,000","0","0","0","4,521,946",
"3059","華晶科          ","5,264,000","1,036,000","4,228,000","0","0","0","0","0","0","132,386","10,437","10,051","386","251,000","119,000","132,000","4,360,386",
"1447","力鵬            ","4,621,000","716,000","3,905,000","0","0","0","0","0","0","69,000","101,000","32,000","69,000","0","0","0","3,974,000",
"1532","勤美            ","5,017,000","1,348,000","3,669,000","0","0","0","0","0","0","277,849","137,000","51,151","85,849","350,000","158,000","192,000","3,946,849",
"2027","大成鋼          ","1,997,000","2,756,000","-759,000","0","0","0","4,632,000","280,272","4,351,728","269,000","93,000","67,000","26,000","349,000","106,000","243,000","3,861,728",
"6770","力積電          ","10,550,461","7,389,713","3,160,748","0","0","0","0","0","0","649,000","206,000","44,000","162,000","513,000","26,000","487,000","3,809,748",
"2520","冠德            ","5,112,000","3,474,000","1,638,000","0","0","0","1,498,000","7,589","1,490,411","573,502","387,000","177,138","209,862","537,640","174,000","363,640","3,701,913",
"2025","千興            ","3,866,000","168,000","3,698,000","0","0","0","0","0","0","1,000","9,000","8,000","1,000","0","0","0","3,699,000",
"3047","訊舟            ","8,422,000","4,897,000","3,525,000","0","0","0","0","0","0","32,000","49,000","17,000","32,000","0","0","0","3,557,000",
="00680L","元大美債20正2   ","7,000","0","7,000","0","0","0","0","0","0","3,523,000","100,000","160,000","-60,000","6,236,000","2,653,000","3,583,000","3,530,000",
"2498","宏達電          ","6,075,000","3,053,600","3,021,400","0","0","0","0","403","-403","378,031","232,000","325,000","-93,000","513,876","42,845","471,031","3,399,028",
"3576","聯合再生        ","3,573,000","322,000","3,251,000","0","0","0","0","0","0","-12,057","943","13,000","-12,057","0","0","0","3,238,943",
"1714","和桐            ","3,079,000","109,000","2,970,000","0","0","0","0","0","0","-1,000","14,000","15,000","-1,000","0","0","0","2,969,000",
"2634","漢翔            ","3,453,194","806,000","2,647,194","0","0","0","0","0","0","177,937","104","67,205","-67,101","283,038","38,000","245,038","2,825,131",
"5531","鄉林            ","3,936,000","1,135,062","2,800,938","0","0","0","0","0","0","6,000","24,000","18,000","6,000","0","0","0","2,806,938",
"2915","潤泰全          ","4,498,900","2,149,000","2,349,900","0","0","0","0","4,000","-4,000","410,330","654,330","251,000","403,330","9,000","2,000","7,000","2,756,230",
"1442","名軒            ","3,379,000","654,000","2,725,000","0","0","0","0","0","0","2,000","6,000","4,000","2,000","0","0","0","2,727,000",
"4958","臻鼎-KY         ","5,790,480","3,273,416","2,517,064","0","0","0","4,000","4,215","-215","155,326","209,000","45,674","163,326","69,000","77,000","-8,000","2,672,175",
"1808","潤隆            ","3,089,000","532,000","2,557,000","0","0","0","0","6,000","-6,000","110,181","8,026","15,000","-6,974","117,155","0","117,155","2,661,181",
"2504","國產            ","4,490,000","7,557,000","-3,067,000","0","0","0","6,000,000","411,000","5,589,000","-18,926","9,457","53,534","-44,077","38,151","13,000","25,151","2,503,074",
"2506","太設            ","3,616,000","1,112,000","2,504,000","0","0","0","0","0","0","-2,000","12,000","14,000","-2,000","0","0","0","2,502,000",
"1802","台玻            ","6,741,000","4,616,000","2,125,000","0","0","0","0","0","0","364,630","432,630","274,000","158,630","230,000","24,000","206,000","2,489,630",
"5519","隆大            ","4,256,000","1,886,000","2,370,000","0","0","0","0","0","0","66,654","93,000","17,000","76,000","35,000","44,346","-9,346","2,436,654",
"2408","南亞科          ","3,052,458","752,115","2,300,343","0","0","0","3,000","3,907","-907","103,602","49,040","80,000","-30,960","152,562","18,000","134,562","2,403,038",
"2338","光罩            ","2,198,000","149,000","2,049,000","0","0","0","0","0","0","273,998","120,998","41,000","79,998","196,000","2,000","194,000","2,322,998",
"1618","合機            ","5,314,000","3,083,000","2,231,000","0","0","0","0","0","0","41,777","3,000","3,000","0","42,000","223","41,777","2,272,777",
"4532","瑞智            ","2,966,000","574,000","2,392,000","0","0","0","0","0","0","-123,835","42,165","168,000","-125,835","10,000","8,000","2,000","2,268,165",
"1513","中興電          ","13,848,277","14,238,020","-389,743","0","0","0","747,000","0","747,000","1,893,157","1,266,589","238,042","1,028,547","1,117,236","252,626","864,610","2,250,414",
"4904","遠傳            ","5,787,000","4,900,301","886,699","0","0","0","1,512,000","112,221","1,399,779","-45,961","16,759","32,000","-15,241","24,280","55,000","-30,720","2,240,517",
"2201","裕隆            ","1,907,000","624,000","1,283,000","0","0","0","759,000","0","759,000","173,944","112,000","127,056","-15,056","299,000","110,000","189,000","2,215,944",
"3029","零壹            ","4,425,000","2,268,000","2,157,000","0","0","0","0","1,997","-1,997","16,471","28,240","16,045","12,195","114,719","110,443","4,276","2,171,474",
"2891","中信金          ","8,663,150","47,883,461","-39,220,311","0","0","0","41,420,000","33,974","41,386,026","-50,000","68,000","142,000","-74,000","1,344,000","1,320,000","24,000","2,115,715",
"2880","華南金          ","13,266,000","10,564,000","2,702,000","0","0","0","25,000","376,230","-351,230","-238,000","20,000","103,000","-83,000","29,000","184,000","-155,000","2,112,770",
="00686R","群益臺灣加權反1 ","0","0","0","0","0","0","0","0","0","2,094,750","0","0","0","2,097,000","2,250","2,094,750","2,094,750",
"6282","康舒            ","2,153,000","252,000","1,901,000","0","0","0","0","0","0","172,149","104,000","54,000","50,000","202,550","80,401","122,149","2,073,149",
"3024","憶聲            ","2,840,000","768,000","2,072,000","0","0","0","0","0","0","-11,000","0","11,000","-11,000","0","0","0","2,061,000",
"2809","京城銀          ","2,724,000","6,196,013","-3,472,013","0","0","0","5,754,000","185,000","5,569,000","-40,758","173,000","201,758","-28,758","198,000","210,000","-12,000","2,056,229",
"6116","彩晶            ","3,462,000","1,413,000","2,049,000","0","0","0","0","0","0","-20,977","4,000","26,000","-22,000","1,023","0","1,023","2,028,023",
"8070","長華*           ","1,723,000","3,735,000","-2,012,000","0","0","0","4,200,000","0","4,200,000","-175,000","10,000","185,000","-175,000","0","0","0","2,013,000",
="00893","國泰智能電動車  ","0","507,000","-507,000","0","0","0","0","0","0","2,493,381","0","0","0","2,616,000","122,619","2,493,381","1,986,381",
"3045","台灣大          ","3,099,398","2,025,262","1,074,136","0","0","0","993,000","108,319","884,681","-39,945","0","25,000","-25,000","23,055","38,000","-14,945","1,918,872",
"5515","建國            ","2,710,000","809,000","1,901,000","0","0","0","0","0","0","15,000","21,000","6,000","15,000","0","0","0","1,916,000",
"3714","富采            ","2,145,800","276,000","1,869,800","0","0","0","0","352","-352","6,405","19,405","13,000","6,405","0","0","0","1,875,853",
"3715","定穎投控        ","2,171,000","406,000","1,765,000","0","0","0","0","0","0","74,489","1,000","2,844","-1,844","83,820","7,487","76,333","1,839,489",
"2442","新美齊          ","2,321,000","550,000","1,771,000","0","0","0","0","0","0","63,855","69,000","5,145","63,855","0","0","0","1,834,855",
"9938","百和            ","2,380,000","702,535","1,677,465","0","0","0","0","5,855","-5,855","151,000","175,000","21,000","154,000","38,000","41,000","-3,000","1,822,610",
="00885","富邦越南        ","291,000","147,000","144,000","0","0","0","0","0","0","1,663,000","10,000","0","10,000","1,779,000","126,000","1,653,000","1,807,000",
"1453","大將            ","3,424,000","1,596,000","1,828,000","0","0","0","0","0","0","-41,000","34,000","75,000","-41,000","0","0","0","1,787,000",
="00927","群益半導體收益  ","115,010","58,000","57,010","0","0","0","0","0","0","1,724,461","15,000","15,000","0","3,387,000","1,662,539","1,724,461","1,781,471",
"2836","高雄銀          ","2,240,000","275,000","1,965,000","0","0","0","0","0","0","-196,000","0","196,000","-196,000","0","0","0","1,769,000",
"3052","夆典            ","1,899,000","148,000","1,751,000","0","0","0","0","0","0","8,000","8,000","0","8,000","0","0","0","1,759,000",
"6446","藥華藥          ","1,898,055","790,000","1,108,055","0","0","0","612,000","0","612,000","20,546","47,294","25,268","22,026","8,520","10,000","-1,480","1,740,601",
"1718","中纖            ","2,298,000","562,000","1,736,000","0","0","0","0","0","0","-20,552","7,000","27,552","-20,552","0","0","0","1,715,448",
"1444","力麗            ","2,001,000","286,000","1,715,000","0","0","0","0","0","0","-17,000","3,000","8,000","-5,000","0","12,000","-12,000","1,698,000",
"6177","達麗            ","2,104,000","502,000","1,602,000","0","0","0","0","6,000","-6,000","92,000","109,000","17,000","92,000","0","0","0","1,688,000",
"2388","威盛            ","1,825,000","356,000","1,469,000","0","0","0","0","0","0","186,338","50,686","10,518","40,168","147,170","1,000","146,170","1,655,338",
"2601","益航            ","2,040,000","413,000","1,627,000","0","0","0","0","0","0","28,093","37,000","9,000","28,000","93","0","93","1,655,093",
"2031","新光鋼          ","1,780,000","166,000","1,614,000","0","0","0","0","0","0","0","2,000","2,000","0","0","0","0","1,614,000",
"2323","中環            ","3,071,002","1,911,000","1,160,002","0","0","0","0","16,000","-16,000","423,819","21,000","15,000","6,000","426,819","9,000","417,819","1,567,821",
"2457","飛宏            ","1,705,000","143,000","1,562,000","0","0","0","0","0","0","-3,000","9,000","9,000","0","0","3,000","-3,000","1,559,000",
"2451","創見            ","1,393,000","2,241,000","-848,000","0","0","0","2,200,000","0","2,200,000","206,818","239,000","32,182","206,818","0","0","0","1,558,818",
"2103","台橡            ","1,729,000","169,000","1,560,000","0","0","0","0","0","0","-15,003","0","15,003","-15,003","0","0","0","1,544,997",
="00909","國泰數位支付服務","1,848,000","28,000","1,820,000","0","0","0","0","0","0","-279,157","0","0","0","372,843","652,000","-279,157","1,540,843",
"2316","楠梓電          ","2,034,000","436,000","1,598,000","0","0","0","0","3,000","-3,000","-65,478","1,501","75,000","-73,499","16,021","8,000","8,021","1,529,522",
="00642U","期元大S&P石油   ","156,000","36,000","120,000","0","0","0","0","0","0","1,389,270","0","5,000","-5,000","1,695,275","301,005","1,394,270","1,509,270",
"3532","台勝科          ","2,048,000","744,100","1,303,900","0","0","0","206,000","44,000","162,000","29,479","68,191","62,000","6,191","58,692","35,404","23,288","1,495,379",
="00852L","國泰美國道瓊正2 ","0","0","0","0","0","0","0","0","0","1,492,000","0","0","0","1,705,000","213,000","1,492,000","1,492,000",
"5608","四維航          ","4,062,000","2,333,000","1,729,000","0","0","0","0","0","0","-261,523","0","0","0","171,000","432,523","-261,523","1,467,477",
"2892","第一金          ","7,441,000","5,942,525","1,498,475","0","0","0","27,000","22,673","4,327","-58,000","4,000","92,000","-88,000","32,000","2,000","30,000","1,444,802",
"1312","國喬            ","3,143,269","1,032,000","2,111,269","0","0","0","0","0","0","-672,487","59,000","731,487","-672,487","0","0","0","1,438,782",
"2913","農林            ","1,651,000","245,000","1,406,000","0","0","0","0","0","0","28,996","31,000","12,004","18,996","12,000","2,000","10,000","1,434,996",
"2548","華固            ","2,819,100","3,189,094","-369,994","0","0","0","1,528,000","8,000","1,520,000","282,435","244,982","84,000","160,982","140,453","19,000","121,453","1,432,441",
"2208","台船            ","1,844,313","452,000","1,392,313","0","0","0","0","0","0","-8,842","2,000","10,842","-8,842","0","0","0","1,383,471",
