113年06月07日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","23,070","2,473,100","-2,450,030","0","0","0","23,070","2,473,100","-2,450,030","0","0","0","30,000","150,000","-120,000","7,551,995","9,990,814","-2,438,819","7,581,995","10,140,814","-2,558,819","-5,008,849"
"00687B","國泰20年美債","312,000","4,060,350","-3,748,350","0","0","0","312,000","4,060,350","-3,748,350","0","0","0","90,000","0","90,000","4,222,000","27,551,279","-23,329,279","4,312,000","27,551,279","-23,239,279","-26,987,629"
"00694B","富邦美債1-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102,000","118,000","-16,000","102,000","118,000","-16,000","-16,000"
"00695B","富邦美債7-10","19,000","1,000","18,000","0","0","0","19,000","1,000","18,000","0","0","0","0","0","0","131,000","159,688","-28,688","131,000","159,688","-28,688","-10,688"
"00696B","富邦美債20年","5,000","5,000","0","0","0","0","5,000","5,000","0","0","0","0","0","0","0","5,680,915","4,808,197","872,718","5,680,915","4,808,197","872,718","872,718"
"00697B","元大美債7-10","0","3,000","-3,000","0","0","0","0","3,000","-3,000","0","0","0","0","0","0","4,627","285,834","-281,207","4,627","285,834","-281,207","-284,207"
"00718B","富邦中國政策債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00719B","元大美債1-3","102,000","238,000","-136,000","0","0","0","102,000","238,000","-136,000","0","0","0","90,000","0","90,000","139,999","541,034","-401,035","229,999","541,034","-311,035","-447,035"
"00720B","元大投資級公司債","144,000","10,000","134,000","0","0","0","144,000","10,000","134,000","0","0","0","0","0","0","9,627,000","2,894,463","6,732,537","9,627,000","2,894,463","6,732,537","6,866,537"
"00721B","元大中國債3-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,000","0","1,000","1,000","0","1,000","1,000"
"00722B","群益投資級電信債","1,048,000","7,000","1,041,000","0","0","0","1,048,000","7,000","1,041,000","0","0","0","0","3,000","-3,000","3,296,000","3,425,000","-129,000","3,296,000","3,428,000","-132,000","909,000"
"00723B","群益投資級科技債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","102,000","-2,000","100,000","102,000","-2,000","-2,000"
"00724B","群益投資級金融債","73,000","401,000","-328,000","0","0","0","73,000","401,000","-328,000","0","0","0","0","0","0","8,575,000","8,540,904","34,096","8,575,000","8,540,904","34,096","-293,904"
"00725B","國泰投資級公司債","1,231,000","3,000","1,228,000","0","0","0","1,231,000","3,000","1,228,000","0","0","0","0","0","0","1,022,999","1,401,033","-378,034","1,022,999","1,401,033","-378,034","849,966"
"00726B","國泰5Y+新興債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105,249","105,968","-719","105,249","105,968","-719","-719"
"00727B","國泰1-5Y非投等債","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","111,253","117,244","-5,991","111,253","117,244","-5,991","-4,991"
"00734B","台新JPM新興債","3,000","0","3,000","0","0","0","3,000","0","3,000","0","0","0","0","0","0","494,000","497,000","-3,000","494,000","497,000","-3,000","0"
"00740B","富邦全球投等債","15,000","69,000","-54,000","0","0","0","15,000","69,000","-54,000","0","0","0","0","0","0","4,676,626","4,781,719","-105,093","4,676,626","4,781,719","-105,093","-159,093"
"00741B","富邦全球非投等債","0","6,000","-6,000","0","0","0","0","6,000","-6,000","0","0","0","0","0","0","100,000","100,055","-55","100,000","100,055","-55","-6,055"
"00746B","富邦A級公司債","345,000","743,000","-398,000","0","0","0","345,000","743,000","-398,000","0","0","0","0","0","0","2,026,000","1,690,335","335,665","2,026,000","1,690,335","335,665","-62,335"
"00749B","凱基新興債10+","13,000","1,000","12,000","0","0","0","13,000","1,000","12,000","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","12,000"
"00750B","凱基科技債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00751B","元大AAA至A公司債","1,000","55,000","-54,000","0","0","0","1,000","55,000","-54,000","0","0","0","0","0","0","733,000","1,436,534","-703,534","733,000","1,436,534","-703,534","-757,534"
"00754B","群益AAA-AA公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00755B","群益投資級公用債","0","27,000","-27,000","0","0","0","0","27,000","-27,000","0","0","0","0","0","0","151,000","109,000","42,000","151,000","109,000","42,000","15,000"
"00756B","群益投等新興公債","487,000","6,000","481,000","0","0","0","487,000","6,000","481,000","0","0","0","0","0","0","124,000","132,000","-8,000","124,000","132,000","-8,000","473,000"
"00758B","復華能源債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110,000","110,000","0","110,000","110,000","0","0"
"00759B","復華製藥債","0","13,000","-13,000","0","0","0","0","13,000","-13,000","0","0","0","0","0","0","118,000","105,000","13,000","118,000","105,000","13,000","0"
"00760B","復華新興企業債","50,000","2,000","48,000","0","0","0","50,000","2,000","48,000","0","0","0","0","0","0","101,990","153,974","-51,984","101,990","153,974","-51,984","-3,984"
"00761B","國泰A級公司債","226,000","3,000","223,000","0","0","0","226,000","3,000","223,000","0","0","0","0","0","0","104,447","272,736","-168,289","104,447","272,736","-168,289","54,711"
"00764B","群益25年美債","443,000","0","443,000","0","0","0","443,000","0","443,000","0","0","0","0","0","0","15,118,999","11,531,336","3,587,663","15,118,999","11,531,336","3,587,663","4,030,663"
"00768B","復華20年美債","1,576,000","155,000","1,421,000","0","0","0","1,576,000","155,000","1,421,000","0","0","0","0","0","0","1,307,090","745,800","561,290","1,307,090","745,800","561,290","1,982,290"
"00772B","中信高評級公司債","245,000","30,000","215,000","0","0","0","245,000","30,000","215,000","0","0","0","20,000","0","20,000","3,259,105","749,157","2,509,948","3,279,105","749,157","2,529,948","2,744,948"
"00773B","中信優先金融債","21,050,000","19,000","21,031,000","0","0","0","21,050,000","19,000","21,031,000","0","0","0","0","0","0","3,203,000","2,544,852","658,148","3,203,000","2,544,852","658,148","21,689,148"
